lat,lon,hour,ping_count
17.25,103.0,16,850
17.25,103.0,9,967
17.25,103.0,1,1237
17.25,103.0,22,568
17.25,103.0,10,1182
17.25,103.0,17,629
17.25,103.0,21,571
17.25,103.0,0,1700
17.25,103.0,15,923
17.25,103.0,23,1246
17.25,103.0,5,1215
17.25,103.0,19,525
22.0,79.0,5,26145
22.0,79.0,4,22618
22.0,79.0,16,23072
22.0,79.0,20,13709
22.0,79.0,8,29258
22.0,79.0,19,18821
22.0,79.0,12,22161
22.0,79.0,17,21201
22.0,79.0,9,26696
22.0,79.0,23,10959
22.0,79.0,22,10780
22.0,79.0,2,16270
22.0,79.0,6,24363
22.0,79.0,3,21037
22.0,79.0,0,13275
22.0,79.0,14,19533
22.0,79.0,11,22308
22.0,79.0,10,21520
22.0,79.0,1,14404
22.0,79.0,13,19443
22.0,79.0,15,21691
22.0,79.0,7,28387
22.0,79.0,21,13170
22.0,79.0,18,21963
19.0,73.0,5,4578
22.25,73.25,22,75
18.5,73.75,8,1079
18.5,73.75,23,644
13.0,77.5,0,7710
28.75,77.25,15,5996
28.5,77.25,12,3951
28.5,77.25,10,3624
28.5,77.25,5,7134
28.5,77.25,7,5604
28.5,77.25,14,4748
28.5,77.25,2,2508
19.0,73.0,17,5008
19.0,73.0,3,4154
19.0,73.0,9,4493
19.0,73.0,14,4365
19.0,73.0,10,3887
19.0,73.0,8,4783
19.0,73.0,0,4139
19.0,73.0,21,4101
19.0,73.0,7,6142
19.0,73.0,6,4624
19.0,73.0,13,4171
19.0,73.0,23,4015
19.0,73.0,2,4840
19.0,73.0,15,5253
13.0,77.5,14,10148
13.0,77.5,19,6204
13.0,77.5,7,12980
13.0,77.5,2,7154
13.0,77.5,21,5432
13.0,77.5,9,11270
13.0,77.5,17,10844
13.0,77.5,15,11590
13.0,77.5,5,16246
13.0,77.5,11,10717
13.0,77.5,20,5230
13.0,77.5,8,12049
13.0,77.5,12,10509
13.0,77.5,4,11913
13.0,77.5,10,10050
13.0,77.5,13,10282
26.25,73.0,12,1
13.0,77.5,18,8757
13.0,77.5,22,3814
13.0,77.5,16,13416
13.0,77.5,1,8168
13.0,77.5,23,5437
13.0,77.5,6,11370
13.0,77.5,3,7398
28.75,77.25,14,6494
28.75,77.25,2,2115
28.75,77.25,8,5596
28.75,77.25,6,8657
28.75,77.25,7,6708
28.75,77.25,5,7376
28.75,77.25,4,5526
28.75,77.25,20,2035
28.75,77.25,11,4838
28.75,77.25,12,5122
23.0,72.5,13,2490
30.0,78.25,17,1
3.0,101.5,20,446
3.0,101.5,1,253
3.0,101.5,8,433
3.0,101.5,9,357
3.0,101.5,11,373
3.0,101.5,10,329
3.0,101.5,6,287
3.0,101.5,16,403
3.0,101.5,12,394
3.0,101.5,5,327
3.0,101.5,2,371
3.0,101.5,14,403
3.0,101.5,15,374
3.0,101.5,19,512
3.0,101.5,0,302
3.0,101.5,13,312
3.0,101.5,4,410
3.0,101.5,18,387
3.0,101.5,7,395
3.0,101.5,17,317
3.0,101.5,22,395
3.0,101.5,23,288
3.0,101.5,21,399
3.0,101.5,3,406
3.25,101.75,5,596
3.25,101.75,14,622
3.25,101.75,22,509
3.25,101.75,7,565
3.25,101.75,8,760
3.25,101.75,18,627
3.25,101.75,13,592
3.25,101.75,20,1264
3.25,101.75,2,660
3.25,101.75,3,928
3.25,101.75,19,665
3.25,101.75,6,558
3.25,101.75,12,597
3.25,101.75,10,505
3.25,101.75,0,608
3.25,101.75,1,724
3.25,101.75,21,690
3.25,101.75,15,634
3.25,101.75,11,531
3.25,101.75,17,619
3.25,101.75,16,730
3.25,101.75,9,736
3.25,101.75,4,819
3.25,101.75,23,529
1.5,103.75,13,5
1.5,103.75,9,10
1.5,103.75,5,4
1.5,103.75,14,7
1.5,103.75,21,4
1.5,103.75,4,8
3.0,101.75,18,121
3.0,101.75,7,157
3.0,101.75,14,149
3.0,101.75,5,173
1.75,103.0,22,2
1.75,103.0,20,10
1.75,103.0,21,12
1.75,103.0,7,1
1.75,103.0,8,10
1.75,103.0,23,2
1.75,103.0,0,3
1.75,103.0,16,3
1.75,103.0,18,3
1.75,103.0,6,1
1.75,103.0,11,2
1.75,103.0,5,5
1.75,103.0,3,1
1.75,103.0,15,2
1.75,103.0,4,1
1.75,103.0,9,1
1.75,103.0,13,1
1.75,103.0,19,1
1.75,103.0,17,1
3.0,101.75,16,191
3.0,101.75,15,165
3.0,101.75,21,308
3.0,101.75,9,172
3.0,101.75,10,146
3.0,101.75,17,123
3.0,101.75,11,191
3.0,101.75,19,150
3.0,101.75,8,337
3.0,101.75,2,132
3.0,101.75,12,157
3.0,101.75,4,210
3.0,101.75,22,122
3.0,101.75,3,152
3.0,101.75,20,155
3.0,101.75,0,245
3.0,101.75,23,136
3.0,101.75,1,337
3.0,101.75,13,103
3.0,101.75,6,180
6.0,116.0,1,25
6.0,116.0,2,27
6.0,116.0,13,18
6.0,116.0,21,46
6.0,116.0,0,20
6.0,116.0,4,36
6.0,116.0,12,28
6.0,116.0,11,40
6.0,116.0,15,31
6.0,116.0,14,41
6.0,116.0,3,19
6.0,116.0,19,26
6.0,116.0,9,14
6.0,116.0,16,36
6.0,116.0,17,22
6.0,116.0,8,53
6.0,116.0,6,22
6.0,116.0,20,21
6.0,116.0,18,22
6.0,116.0,22,35
6.0,116.0,7,36
6.0,116.0,23,31
6.0,116.0,10,16
6.0,116.0,5,23
8.0,99.0,12,5
8.0,99.0,19,2
8.0,99.0,6,16
8.0,99.0,7,6
8.0,99.0,16,6
8.0,99.0,4,6
8.0,99.0,22,22
8.0,99.0,9,12
8.0,99.0,21,7
8.0,99.0,13,5
8.0,99.0,2,19
8.0,99.0,17,22
8.0,99.0,1,4
8.0,99.0,23,7
8.0,99.0,11,1
8.0,99.0,15,6
8.0,99.0,20,4
8.0,99.0,0,4
8.0,99.0,3,4
8.0,99.0,10,9
8.0,99.0,18,4
8.0,99.0,8,4
8.0,99.0,14,6
8.0,99.0,5,2
18.75,99.0,17,5
18.75,99.0,18,7
18.75,99.0,7,2
18.75,99.0,5,5
18.75,99.0,6,2
18.75,99.0,10,1
18.75,99.0,1,1
18.75,99.0,2,1
13.75,100.25,3,42
13.75,100.25,23,59
13.75,100.25,11,22
13.75,100.25,0,29
13.75,100.25,5,21
13.75,100.25,10,31
13.75,100.25,13,107
13.75,100.25,9,25
13.75,100.25,7,45
13.75,100.25,4,45
13.75,100.25,8,42
13.75,100.25,20,48
13.75,100.25,19,60
13.75,100.25,12,29
13.75,100.25,15,107
13.75,100.25,6,22
13.75,100.25,2,15
13.75,100.25,22,48
13.75,100.25,1,25
13.75,100.25,18,110
13.75,100.25,21,28
13.75,100.25,14,109
13.75,100.25,16,72
13.75,100.25,17,54
14.5,100.25,23,48
14.5,100.25,6,7
14.5,100.25,21,6
14.5,100.25,1,2
14.5,100.25,7,8
14.5,100.25,13,8
14.5,100.25,11,4
14.5,100.25,2,4
14.5,100.25,8,15
14.5,100.25,3,8
14.5,100.25,19,9
14.5,100.25,15,4
14.5,100.25,10,8
14.5,100.25,17,3
14.5,100.25,22,11
14.5,100.25,14,3
14.5,100.25,12,2
14.5,100.25,0,3
14.5,100.25,9,12
14.5,100.25,16,23
14.5,100.25,5,3
14.5,100.25,4,5
14.5,100.25,20,9
14.5,100.25,18,4
37.5,127.0,11,258267
37.5,127.0,21,239941
